"Prepared by Global Health 50/50
Last updated: 03/04/2020. Data reported from last available date of sex-disaggregated reporting based on the 39 countries with the highest number of confirmed cases",,,,,,,,,,,,
COVID-19: Sex-disaggregated data tracker,,,,,,,,,,,,
Country,Date,Confirmed cases,,,Deaths,,,Proportion of deaths among confirmed cases,,,,Source
,,Total,% male,% female,Total,% male,% female,Total,Male,Female,Male:female ratio,
Australia ,4-Mar,"5,087",51%,49%,26,na,na,0.50%,na,na,na,http://www9.health.gov.au/cda/source/rpt_5.cfm
Austria,4-Mar,"11,412",51%,49%,168,na,na,1.50%,na,na,na,https://www.sozialministerium.at/Informationen-zum-Coronavirus/Neuartiges-Coronavirus-(2019-nCov).html
Belgium,4-Feb,"16,770",46%,54%,1143,57%,41%,6.80%,8.40%,5.30%,1.59,https://epistat.wiv-isp.be/Covid/covid-19.html
Brazil ,4-Mar,"7,910",na,na,299,na,na,3.80%,na,na,na,https://covid.saude.gov.br/
Canada*,4-Feb,"6,429",49%,51%,127,na,na,2.00%,na,na,na,https://www.canada.ca/content/dam/phac-aspc/documents/services/diseases-maladies/2019-novel-coronavirus-infection/COVID19-epi-update-eng-2020-04-02.pdf
Chile,4-Jan,"2,938",50%,50%,18,na,na,0.50%,na,na,na,http://epi.minsal.cl/wp-content/uploads/2020/04/Informe_19_COVID_19_Chile.pdf
China,28/02,"55,924",51%,49%,2114,64%,36%,3.80%,4.70%,2.80%,1.68,https://www.who.int/docs/default-source/coronaviruse/who-china-joint-mission-on-covid-19-final-report.pdf
Czech Republic,4-Mar,"3,869",51%,49%,46,na,na,1.20%,na,na,na,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,4-Mar,"3,672",50%,50%,139,67%,33%,3.80%,5.10%,2.50%,2.06,https://www.ssi.dk/-/media/ssi-files/covid19-overvaagningsrapport-03042020-hjkl.pdf?la=da
Ecuador,4-Feb,"3,163",55%,45%,120,na,na,3.80%,na,na,na,https://twitter.com/Salud_Ec/status/1245746831797223424/photo/1
Finland,4-Feb,"1,615",51%,49%,19,na,na,1.20%,na,na,na,https://experience.arcgis.com/experience/d40b2aaf08be4b9c8ec38de30b714f26
