,,Total,Cases male,Cases female,Total,Deaths male,Deaths female,Total,Male,Female,Male:female ratio,
Australia ,4-Mar,"5,087",51%,49%,26,,,0.50%,,,,http://www9.health.gov.au/cda/source/rpt_5.cfm
Austria,4-Mar,"11,412",51%,49%,168,,,1.50%,,,,https://www.sozialministerium.at/Informationen-zum-Corovirus/Neuartiges-Corovirus-(2019-nCov).html
Belgium,4-Feb,"16,770",46%,54%,1143,57%,41%,6.80%,8.40%,5.30%,1.59,https://epistat.wiv-isp.be/Covid/covid-19.html
Brazil ,4-Mar,"7,910",,,299,,,3.80%,,,,https://covid.saude.gov.br/
Cada*,4-Feb,"6,429",49%,51%,127,,,2.00%,,,,https://www.cada.ca/content/dam/phac-aspc/documents/services/diseases-maladies/2019-novel-corovirus-infection/COVID19-epi-update-eng-2020-04-02.pdf
Chile,4-Jan,"2,938",50%,50%,18,,,0.50%,,,,http://epi.minsal.cl/wp-content/uploads/2020/04/Informe_19_COVID_19_Chile.pdf
Chi,28/02,"55,924",51%,49%,2114,64%,36%,3.80%,4.70%,2.80%,1.68,https://www.who.int/docs/default-source/coroviruse/who-chi-joint-mission-on-covid-19-fil-report.pdf
Czech Republic,4-Mar,"3,869",51%,49%,46,,,1.20%,,,,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,4-Mar,"3,672",50%,50%,139,67%,33%,3.80%,5.10%,2.50%,2.06,https://www.ssi.dk/-/media/ssi-files/covid19-overvaagningsrapport-03042020-hjkl.pdf?la=da
Ecuador,4-Feb,"3,163",55%,45%,120,,,3.80%,,,,https://twitter.com/Salud_Ec/status/1245746831797223424/photo/1
Finland,4-Feb,"1,615",51%,49%,19,,,1.20%,,,,https://experience.arcgis.com/experience/d40b2aaf08be4b9c8ec38de30b714f26
France**,15/03,"6,378",47%,53%,161,58%,42%,2.50%,3.10%,2.00%,1.55,https://www.santepubliquefrance.fr/maladies-et-traumatismes/maladies-et-infections-respiratoires/infection-a-corovirus/documents/bulletin-tiol/covid-19-point-epidemiologique-du-15-mars-2020
Germany,4-Feb,"73,552",52%,48%,872,65%,35%,1.20%,1.50%,0.90%,1.72,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Corovirus/Situationsberichte/2020-04-02-en.pdf?__blob=publicationFile
Greece,29/03,"1,156",56%,44%,38,,,3.30%,,,,https://eody.gov.gr/wp-content/uploads/2020/03/covid-gr-daily-report-29-03-20.pdf
Indonesia,4-Mar,"1,986",,,181,,,9.10%,,,,https://www.covid19.go.id/2020/04/03/infografis-covid-19-3-april-2020/
Iran,17/03,"14,991",57%,43%,853,59%,41%,5.70%,5.90%,5.40%,1.09,https://twitter.com/drjahanpur/status/1239837848175439874
Israel,4-Mar,"7,030",,,36,,,0.50%,,,,https://t.me/s/MOHreport
Italy,4-Feb,"106,399",55%,45%,12550,69%,31%,11.80%,14.80%,8.20%,1.8,https://www.epicentro.iss.it/corovirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_2-aprile-2020.pdf
Japan,4-Jan,"1,808",59%,40%,57,,,3.20%,,,,"https://mhlw-gis.maps.arcgis.com/apps/opsdashboard/index.html#/0c5d0502bbb54f9a8dddebca003631b8
https://toyokeizai.net/sp/visual/tko/covid19/en.html"""
Luxembourg,4-Feb,"2,487",,,30,,,1.20%,,,,https://msan.gouvernement.lu/en/dossiers/2020/coro-virus.html
Malaysia,4-Mar,"3,333",,,53,,,1.60%,,,,http://www.moh.gov.my/index.php/pages/view/2019-ncov-wuhan
Norway,4-Feb,"5,208",51%,49%,44,,,0.80%,,,,https://www.fhi.no/en/id/infectious-diseases/corovirus/daily-reports/daily-reports-COVID19/
